Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2024,Mercedes-Benz,C-Class C 300 4MATIC,2,333,4.6,696,"$55,089 "
2020,Mercedes-Benz,AMG E 53,7,780,4,50,"$68,274 "
2021,Mercedes-Benz,AMG E 53  4MATIC,28,718,4.7,"1,424","$76,777 "
2023,Mercedes-Benz,GLB 250 ,6,483,4.6,"1,915","$46,777 "
2023,Mercedes-Benz,AMG G 63 4MATIC,6,989,4.7,557,"$199,865 "
2021,Mercedes-Benz,AMG G 63 ,15,556,4.7,557,"$178,899 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,4,885,4.6,696,"$43,888 "
2023,Mercedes-Benz,EQS 580  4MATIC,7,200,4.8,788,"$92,499 "
2021,Mercedes-Benz,AMG GLC 43  4MATIC,26,280,4.3,112,"$48,998 "
2021,Mercedes-Benz,E-Class E 450 4MATIC,5,696,4.2,862,"$61,991 "
2018,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,89,199,4.4,297,"$33,797 "
2023,Mercedes-Benz,AMG SL 55 ,0,892,4.3,419,"$125,997 "
2020,Mercedes-Benz,AMG G 63 ,35,775,4.2,821,"$149,995 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,14,494,3.7,113,"$30,880 "
2023,Mercedes-Benz,GLB 250  4MATIC,4,108,3.9,"1,800","$46,900 "
2019,Mercedes-Benz,Maybach S 560  4MATIC,14,908,4.8,"2,059","$93,882 "
2024,Mercedes-Benz,GLC 300  4MATIC,5,674,4,526,"$53,445 "
2020,Mercedes-Benz,AMG E 53 4MATIC,30,882,4.9,"2,506","$50,754 "
2021,Mercedes-Benz,AMG GT 63 4-Door,45,396,4.6,"5,510","$108,337 "
2021,Mercedes-Benz,GLC 300 ,3,600,4,526,"$38,740 "
2023,Mercedes-Benz,GLA 250  4MATIC,11,525,5,98,"$38,997 "
2023,Mercedes-Benz,GLB 250 ,12,603,4.8,894,"$47,721 "
2022,Mercedes-Benz,A-Class A 220,15,69,4,526,"$34,600 "
2021,Mercedes-Benz,GLB 250 ,39,256,4.4,297,"$29,397 "
2024,Mercedes-Benz,Maybach GLS 600 4MATIC,1,661,3.7,113,"$173,880 "
